"","KC_C1","KC_C2","KC_C3","KC_C4","KC_C5"
"1",1,0,0,0,0
"2",1,0,0,0,0
"3",0,1,0,0,0
"4",0,0,1,0,0
"5",0,0,0,1,0
"6",1,0,0,0,0
"7",0,1,0,0,0
"8",0,0,0,0,1
"9",0,0,0,1,0
"10",0,0,0,1,0
"11",1,0,0,0,0
"12",0,0,0,1,0
"13",1,0,0,0,0
"14",0,0,1,0,0
"15",0,0,0,1,0
"16",0,0,1,0,0
"17",1,0,0,0,0
"18",1,0,0,0,0
"19",0,0,1,0,0
"20",0,0,1,0,0
"21",0,1,0,0,0
"22",0,0,0,0,1
"23",0,1,0,0,0
"24",0,0,1,0,0
"25",1,0,0,0,0
"26",0,0,0,1,0
"27",0,1,0,0,0
"28",0,0,1,0,0
"29",0,1,0,0,0
"30",0,0,1,0,0
"31",0,0,1,0,0
"32",0,0,0,0,1
"33",0,0,0,1,0
"34",0,0,1,0,0
"35",0,0,1,0,0
"36",0,0,1,0,0
"37",0,0,1,0,0
"38",0,0,1,0,0
"39",0,0,1,0,0
"40",0,0,0,1,0
"41",0,0,0,1,0
"42",0,0,0,1,0
"43",0,0,1,0,0
"44",0,0,0,0,1
"45",0,0,1,0,0
"46",0,0,1,0,0
"47",0,0,0,1,0
"48",0,0,1,0,0
"49",0,0,1,0,0
"50",0,0,0,1,0
"51",0,0,0,1,0
"52",0,0,0,1,0
"53",0,0,0,1,0
"54",0,0,1,0,0
"55",0,0,0,0,1
"56",0,0,0,0,1
"57",0,1,0,0,0
"58",1,0,0,0,0
"59",0,1,0,0,0
"60",0,0,0,0,1
"61",0,0,0,1,0
"62",1,0,0,0,0
"63",0,0,0,0,1
"64",1,0,0,0,0
"65",1,0,0,0,0
"66",1,0,0,0,0
"67",0,0,0,0,1
"68",0,0,0,0,1
"69",1,0,0,0,0
"70",0,1,0,0,0
"71",0,0,1,0,0
"72",0,0,1,0,0
"73",0,1,0,0,0
"74",0,0,0,0,1
"75",1,0,0,0,0
"76",0,0,0,0,1
"77",0,0,0,0,1
"78",1,0,0,0,0
"79",1,0,0,0,0
"80",0,1,0,0,0
"81",0,0,1,0,0
"82",0,0,0,1,0
"83",1,0,0,0,0
"84",0,1,0,0,0
"85",0,0,0,0,1
"86",0,0,0,1,0
"87",0,0,0,1,0
"88",1,0,0,0,0
"89",0,0,0,1,0
"90",1,0,0,0,0
"91",0,0,1,0,0
"92",0,0,0,1,0
"93",0,0,1,0,0
"94",1,0,0,0,0
"95",1,0,0,0,0
"96",0,0,1,0,0
"97",0,0,1,0,0
"98",0,1,0,0,0
"99",0,0,0,0,1
"100",0,1,0,0,0
"101",0,0,1,0,0
"102",1,0,0,0,0
"103",0,0,0,1,0
"104",0,1,0,0,0
"105",0,0,1,0,0
"106",0,1,0,0,0
"107",0,0,1,0,0
"108",0,0,1,0,0
"109",0,0,0,0,1
"110",0,0,0,1,0
"111",0,0,1,0,0
"112",0,0,1,0,0
"113",0,0,1,0,0
"114",0,0,1,0,0
"115",0,0,1,0,0
"116",0,0,1,0,0
"117",0,0,0,1,0
"118",0,0,0,1,0
"119",0,0,0,1,0
"120",0,0,1,0,0
"121",0,0,0,0,1
"122",0,0,1,0,0
"123",0,0,1,0,0
"124",0,0,0,1,0
"125",0,0,1,0,0
"126",0,0,1,0,0
"127",0,0,0,1,0
"128",0,0,0,1,0
