"","PH_C1","PH_C2","PH_C3","PH_C4","PH_C5"
"1",1,0,0,0,0
"2",1,0,0,0,0
"3",1,0,0,0,0
"4",0,1,0,0,0
"5",0,1,0,0,0
"6",1,0,0,0,0
"7",0,1,0,0,0
"8",1,0,0,0,0
"9",0,1,0,0,0
"10",1,0,0,0,0
"11",0,1,0,0,0
"12",1,0,0,0,0
"13",0,1,0,0,0
"14",1,0,0,0,0
"15",1,0,0,0,0
"16",0,0,1,0,0
"17",0,1,0,0,0
"18",1,0,0,0,0
"19",1,0,0,0,0
"20",1,0,0,0,0
"21",1,0,0,0,0
"22",1,0,0,0,0
"23",1,0,0,0,0
"24",0,1,0,0,0
"25",0,1,0,0,0
"26",0,1,0,0,0
"27",0,1,0,0,0
"28",0,0,0,1,0
"29",0,0,0,1,0
"30",0,0,0,1,0
"31",0,0,0,0,1
"32",0,1,0,0,0
"33",0,1,0,0,0
"34",0,1,0,0,0
"35",0,1,0,0,0
"36",1,0,0,0,0
"37",1,0,0,0,0
"38",1,0,0,0,0
"39",1,0,0,0,0
"40",1,0,0,0,0
"41",0,0,0,0,1
"42",1,0,0,0,0
"43",1,0,0,0,0
"44",1,0,0,0,0
"45",0,0,0,0,1
"46",1,0,0,0,0
"47",1,0,0,0,0
"48",1,0,0,0,0
"49",1,0,0,0,0
"50",0,0,0,0,1
"51",1,0,0,0,0
"52",0,0,0,0,1
"53",0,0,0,0,1
"54",0,0,0,0,1
"55",1,0,0,0,0
"56",1,0,0,0,0
"57",1,0,0,0,0
"58",1,0,0,0,0
"59",1,0,0,0,0
"60",1,0,0,0,0
"61",1,0,0,0,0
"62",0,0,0,0,1
"63",0,0,0,0,1
"64",0,0,0,0,1
"65",1,0,0,0,0
"66",1,0,0,0,0
"67",1,0,0,0,0
"68",1,0,0,0,0
"69",0,1,0,0,0
"70",0,1,0,0,0
"71",1,0,0,0,0
"72",0,1,0,0,0
"73",1,0,0,0,0
"74",0,1,0,0,0
"75",1,0,0,0,0
"76",0,1,0,0,0
"77",1,0,0,0,0
"78",0,1,0,0,0
"79",1,0,0,0,0
"80",1,0,0,0,0
"81",0,0,1,0,0
"82",0,1,0,0,0
"83",1,0,0,0,0
"84",1,0,0,0,0
"85",1,0,0,0,0
"86",1,0,0,0,0
"87",1,0,0,0,0
"88",1,0,0,0,0
"89",0,1,0,0,0
"90",0,1,0,0,0
"91",0,1,0,0,0
"92",0,1,0,0,0
"93",0,0,0,1,0
"94",0,0,0,1,0
"95",0,0,0,1,0
"96",0,0,0,0,1
"97",0,1,0,0,0
"98",0,1,0,0,0
"99",0,1,0,0,0
"100",0,1,0,0,0
"101",1,0,0,0,0
"102",1,0,0,0,0
"103",1,0,0,0,0
"104",1,0,0,0,0
"105",1,0,0,0,0
"106",0,0,0,0,1
"107",1,0,0,0,0
"108",1,0,0,0,0
"109",1,0,0,0,0
"110",0,0,0,0,1
"111",1,0,0,0,0
"112",1,0,0,0,0
"113",1,0,0,0,0
"114",1,0,0,0,0
"115",0,0,0,0,1
"116",1,0,0,0,0
"117",0,0,0,0,1
"118",0,0,0,0,1
"119",0,0,0,0,1
"120",1,0,0,0,0
"121",1,0,0,0,0
"122",1,0,0,0,0
"123",1,0,0,0,0
"124",1,0,0,0,0
"125",1,0,0,0,0
"126",1,0,0,0,0
"127",0,0,0,0,1
"128",0,0,0,0,1
