row,anon_student_id,problem_hierarchy,problem_name,problem_view,step_name,step_start_time,first_transaction_time,correct_transaction_time,step_end_time,step_duration,correct_step_duration,error_step_duration,correct_first_attempt,incorrects,hints,corrects,KC,opportunity
215464,t0fI2c7EMH,"Unit ES_01, Section ES_01-5",EG13A,1,y = 386.1+10,39:06.0,39:08.0,39:08.0,39:08.0,2,2,,1,0,0,1,"[SkillRule: Select Combine Terms; CLT]~~[SkillRule: Consolidate vars, no coeff; CLT]","9~~9"
215663,t0fI2c7EMH,"Unit ES_02, Section ES_02-1",EG2-FIXED,1,2y-3+3 = 5+3,15:10.0,15:15.0,15:15.0,15:15.0,5,5,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],"7"
215750,t0fI2c7EMH,"Unit ES_02, Section ES_02-9",EG44,1,9 = -1y,41:34.0,41:41.0,41:41.0,41:41.0,7,7,,1,0,0,1,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]~~[SkillRule: Make variable positive; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]","30~~21~~7"
215248,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",REAL17C,1,R4C2,16:27.0,16:40.0,16:59.0,16:59.0,32,,32,0,2,0,1,"Using simple numbers~~Using small numbers~~Find Y, positive slope","18~~18~~5"
215885,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",L2FB15B,1,R2C1,48:44.0,48:47.0,48:47.0,48:47.0,3,3,,1,0,0,1,Identifying units,"47"
215440,t0fI2c7EMH,"Unit ES_01, Section ES_01-4",EG11,1,x = 5*6,56:04.0,56:08.0,56:08.0,56:08.0,4,4,,1,0,0,1,[SkillRule: Select Multiply; {MT; MT no fraction coeff}],"7"
215786,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-1",LDEMO_WSLVR,2,25.5H+90.75 = 2385.75,37:43.0,38:09.0,38:09.0,38:09.0,26,26,,1,0,0,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]","26"
216002,t0fI2c7EMH,"Unit ES_02, Section ES_02-4",EG34,2,FinalAnswer,17:07.0,17:10.0,17:10.0,17:20.0,5,5,,1,0,0,2,perform-mult-sp~~combine-like-terms-whole-sp,"28~~23"
215274,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",BH1T39A,1,xMax,21:04.0,21:16.0,21:16.0,21:16.0,12,12,,1,0,0,1,Changing axis bounds,"8"
215865,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",DEC01C,1,R5C1,45:53.0,45:55.0,45:55.0,45:55.0,2,2,,1,0,0,1,Entering a given,"118"
215532,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-1",LDEMO_WSLVR,1,R2C1,52:14.0,52:16.0,52:16.0,52:16.0,2,2,,1,0,0,1,Identifying units,"15"
215745,t0fI2c7EMH,"Unit ES_02, Section ES_02-8",EG41,3,#NAME?,41:01.0,41:06.0,41:06.0,41:09.0,8,8,,1,0,0,2,"[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]","9"
215316,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-4",BH1T29C,1,YLabel,28:14.0,28:23.0,28:23.0,28:23.0,9,9,,1,0,0,1,Labelling the axes,"13"
215973,t0fI2c7EMH,"Unit ES_02, Section ES_02-3",EG34,1,(-5-8)*-3 = y,12:26.0,12:28.0,12:28.0,12:28.0,2,2,,1,0,0,1,"[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","32"
215229,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T35,1,R5C2,12:32.0,12:48.0,12:48.0,12:48.0,16,16,,1,0,0,1,"Using simple numbers~~Using small numbers~~Find Y, positive slope","13~~13~~2"
215864,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",DEC01C,1,R4C1,45:49.0,45:53.0,45:53.0,45:53.0,4,4,,1,0,0,1,Entering a given,"117"
